# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:42:44.543   117°  screens=1  raw: 01 75 00
14:42:44.649   117°  screens=1  raw: 01 75 00
14:42:44.754   117°  screens=1  raw: 01 75 00
14:42:44.860   117°  screens=1  raw: 01 75 00
14:42:44.965   117°  screens=1  raw: 01 75 00
14:42:45.068   117°  screens=1  raw: 01 75 00
14:42:45.173   117°  screens=1  raw: 01 75 00
14:42:45.275   117°  screens=1  raw: 01 75 00
14:42:45.378   117°  screens=1  raw: 01 75 00
14:42:45.485   117°  screens=1  raw: 01 75 00
14:42:45.588   117°  screens=1  raw: 01 75 00
14:42:45.691   117°  screens=1  raw: 01 75 00
14:42:45.798   117°  screens=1  raw: 01 75 00
14:42:45.904   117°  screens=1  raw: 01 75 00
14:42:46.006   117°  screens=1  raw: 01 75 00
14:42:46.112   117°  screens=1  raw: 01 75 00
14:42:46.214   117°  screens=1  raw: 01 75 00
14:42:46.318   117°  screens=1  raw: 01 75 00
14:42:46.419   117°  screens=1  raw: 01 75 00
14:42:46.525   117°  screens=1  raw: 01 75 00
14:42:46.629   117°  screens=1  raw: 01 75 00
14:42:46.736   117°  screens=1  raw: 01 75 00
14:42:46.840   117°  screens=1  raw: 01 75 00
14:42:46.943   117°  screens=1  raw: 01 75 00
14:42:47.049   117°  screens=1  raw: 01 75 00
14:42:47.155   117°  screens=1  raw: 01 75 00
14:42:47.258   117°  screens=1  raw: 01 75 00
14:42:47.364   117°  screens=1  raw: 01 75 00
14:42:47.469   117°  screens=1  raw: 01 75 00
14:42:47.574   117°  screens=1  raw: 01 75 00
14:42:47.676   117°  screens=1  raw: 01 75 00
14:42:47.780   117°  screens=1  raw: 01 75 00
14:42:47.882   117°  screens=1  raw: 01 75 00
14:42:47.987   117°  screens=1  raw: 01 75 00
14:42:48.091   117°  screens=1  raw: 01 75 00
14:42:48.195   117°  screens=1  raw: 01 75 00
14:42:48.301   117°  screens=1  raw: 01 75 00
14:42:48.408   117°  screens=1  raw: 01 75 00
14:42:48.517   117°  screens=1  raw: 01 75 00
14:42:48.623   117°  screens=1  raw: 01 75 00
14:42:48.729   117°  screens=1  raw: 01 75 00
14:42:48.833   117°  screens=1  raw: 01 75 00
14:42:48.935   117°  screens=1  raw: 01 75 00
14:42:49.041   117°  screens=1  raw: 01 75 00
14:42:49.144   117°  screens=1  raw: 01 75 00
14:42:49.249   117°  screens=1  raw: 01 75 00
14:42:49.354   117°  screens=1  raw: 01 75 00
14:42:49.458   116°  screens=1  raw: 01 74 00
14:42:49.561   114°  screens=1  raw: 01 72 00
14:42:49.669   103°  screens=1  raw: 01 67 00
14:42:49.772    88°  screens=1  raw: 01 58 00
14:42:49.879    73°  screens=1  raw: 01 49 00
14:42:49.981    58°  screens=1  raw: 01 3a 00
14:42:50.087    34°  screens=1  raw: 01 22 00
14:42:50.189    30°  screens=1  raw: 01 1e 00
